num, name, organism, type, Dataset, Platforms, samples, series
4116,Genome-wide consequences of compromised NMD and their relavence for variable clinical phenotype of patients with UPF3B mutations,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing; Genome variation profiling by SNP array,NoData,GPL5175 GPL13135 GPL9115,32,GSE27433,GSE27433
4117,Distal airway stem cells yield alveoli in vitro and during lung regeneration following H1N1 influenza infection,Homo sapiens; Mus musculus,Expression profiling by array,NoData,GPL6096 GPL5175,46,GSE32606,GSE32606
4118,"Distal airway stem cells yield alveoli in vitro and during lung regeneration following H1N1 influenza infection (stem cell clones NESC,TASC,DASC)",Homo sapiens,Expression profiling by array,NoData,GPL5175,28,GSE32604,GSE32604
4119,Expression data from high grade astrocytoma surgical samples,Homo sapiens,Expression profiling by array,GDS4465,GPL570,26,GSE33331,GSE33331
4120,Expression data from colorectal cancer cells,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE13568,GSE13568
4121,Expression data from human corneal endothelial cells,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE30781,GSE30781
4122,5-hydroxymethylcytosine-mediated epigenetic dynamics during neurodevelopment and aging,Mus musculus; Homo sapiens; Rattus norvegicus,Methylation profiling by high throughput sequencing; Expression profiling by array,NoData,NoData,30,GSE32188,GSE32188
4123,Gene expression changes in human cardiomyocytes exposed to VX (O-ethyl S-[2-(diisopropylamino)ethyl] methylphosphonothiolate),Homo sapiens,Expression profiling by array,NoData,GPL570,39,GSE33325,GSE33325
4124,Gene Copy Number Aberrations are Associated with Survival in Histological Subgroups of Non-Small Cell Lung Cancer (expression data),Homo sapiens,Expression profiling by array,NoData,GPL570,100,GSE28571,GSE28571
4125,Expression data from control and COUP-TFII siRNA treated HUVEC cells,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE33301,GSE33301
4126,Apoptosis regulation by Kaposi’s sarcoma microRNAs,Homo sapiens,Expression profiling by array,NoData,GPL570,18,GSE18946,GSE18946
4127,Modulation of mRNA in human T-cell development,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL570 GPL8227,30,GSE26158,GSE26158
4128,Modulation of mRNA in human T-cell development (expression),Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE26156,GSE26156
4129,Biologic Phenotyping of the Human Small Airway Epithelial Response to Cigarette Smoking,Homo sapiens,Expression profiling by array,NoData,GPL570,171,GSE11784,GSE11784
4130,Role of S100A7 in regulating inflammatory pathways during mammary tumorigenesis,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE32052,GSE32052
4131,GlcNAcylation of histone H2B facilitates its monoubiquitination,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,NoData,GPL570 GPL9052,12,GSE33051,GSE33051
4132,GlcNAcylation of histone H2B facilitates its monoubiquitination [Affymetrix data],Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE33050,GSE33050
4133,Spatio-temporal transcriptome of the human brain,Homo sapiens,Expression profiling by array,NoData,GPL5188 GPL5175,2680,GSE25219,GSE25219
4134,Roles of  EMT regulator in colon cancer,Homo sapiens,Expression profiling by array,NoData,NoData,8,GSE14773,GSE14773
4135,Expression data from control and COUP-TFII siRNA treated PC3 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE33182,GSE33182
4136,Gene expression profiling of negative-pressure-treated split-thickness skin graft donor site wounds reveals novel effects on epithelialization,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE33169,GSE33169
4137,Nuclear receptors Nur77 and Nurr1 modulate mesenchymal stromal cell migration,Homo sapiens,Expression profiling by array,NoData,GPL5175,6,GSE24892,GSE24892
4138,Gene expression changes in human neural cells exposed to VX (O-ethyl S-[2-(diisopropylamino)ethyl] methylphosphonothiolate),Homo sapiens,Expression profiling by array,NoData,GPL570,39,GSE33109,GSE33109
4139,Transcriptional effect of an off-target shRNA targeting nucleostemin in human glioblastoma-derived cancer stem cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE30448,GSE30448
4140,The transcription factors Snail and Slug activate the TGF-B signaling pathway in breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,30,GSE29672,GSE29672
4141,Human embryonic stem cells derived from embryos at different stages of development share similar transcription profiles,Homo sapiens,Expression profiling by array,NoData,GPL570,14,GSE29625,GSE29625
4142,Gene expression profiles in human kidney cancer cells in response to FoxO1 or FoxO3 activation,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE23926,GSE23926
4143,Epigenetic portraits of human breast cancers,Homo sapiens,Expression profiling by array; Methylation profiling by array,NoData,GPL570 GPL8490,381,GSE20713,GSE20713
4144,Epigenetic portraits of human breast cancers (expression data),Homo sapiens,Expression profiling by array,NoData,GPL570,90,GSE20711,GSE20711
4145,Epigenetic portraits of human breast cancers (various cell lines expression data),Homo sapiens,Expression profiling by array,NoData,GPL570,18,GSE22250,GSE22250
4146,"MicroRNA expression and regulation in human, chimpanzee, and macaque brain",Macaca mulatta; Homo sapiens; Pan troglodytes,Expression profiling by array; Non-coding RNA profiling by array; Non-coding RNA profiling by high throughput sequencing,NoData,NoData,46,GSE26545,GSE26545
4147,"b-AP15, a novel proteasome inhibitor",Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE24150,GSE24150
4148,Effect of iron chelators on global gene expression pattern in SW480 cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,13,GSE32369,GSE32369
4149,Renal cortex and medulla microRNA and mRNA expression differences between hypertensive and normotensive patients,Homo sapiens,Non-coding RNA profiling by array; Expression profiling by array,NoData,GPL6244 GPL10850,38,GSE28260,GSE28260
4150,Gene expression data from cultured cells or from nude mice xenografts,Homo sapiens,Expression profiling by array,NoData,GPL570,11,GSE29884,GSE29884
4151,Renal cortex expression differences between hypertensive and normotensive patients,Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE28345,GSE28345
4152,Renal medulla expression differences between hypertensive and normotensive patients,Homo sapiens,Expression profiling by array,NoData,GPL6244,14,GSE28360,GSE28360
4153,An eight-gene expression signature for the prediction of survival and time to treatment in chronic lymphocytic leukemia,Homo sapiens,Expression profiling by array,NoData,GPL570 GPL96 GPL97,195,GSE22762,GSE22762
4154,Expression analysis of genes located in the minimally deleted regions of 13q14 and 11q22-23 in chronic lymphocytic leukemia – unexpected expression pattern of the RHO GTPase activator ARHGAP20,Homo sapiens,Expression profiling by array,NoData,GPL96 GPL570 GPL97,199,GSE25571,GSE25571
4155,Gene expression data of endothelium exposed to heme,Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE25014,GSE25014
4156,Nonlesional atopic dermatitis skin is characterized by broad terminal differentiation defects and variable immune abnormalities,Homo sapiens,Expression profiling by array,GDS4491,GPL570,33,GSE32924,GSE32924
4157,Molecular profiling and gene expression analysis in cutaneous sarcoidosis (CS),Homo sapiens,Expression profiling by array,NoData,GPL570,31,GSE32887,GSE32887
4158,In vitro prednisolone resistance signature in MLL-rearranged infant ALL,Homo sapiens,Expression profiling by array,GDS4297,GPL570,43,GSE32962,GSE32962
4159,CD4 on human monocytes,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE32939,GSE32939
4160,The impact of aging on memory T cell phenotype and function in the human bone marrow,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE32725,GSE32725
4161,Expression data from HT-1080 cells incubated or not in the presence of laminin111 coiled-coiled recombinant fragment (rLCC111),Homo sapiens,Expression profiling by array,NoData,GPL6244,2,GSE32896,GSE32896
4162,Inferring transcriptional and microRNA-mediated regulatory programs in glioblastoma,Homo sapiens,Expression profiling by array,NoData,GPL570,18,GSE32876,GSE32876
4163,Effects of long dsRNA expression in HeLa and HEK293 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE27316,GSE27316
4164,Expression data from Caco-2 cells expressing TLR4 and associated mutants,Homo sapiens,Expression profiling by array,NoData,GPL6244,12,GSE26226,GSE26226
4165,Autism and increased paternal age related changes in global levels of gene expression regulation,Homo sapiens,Expression profiling by array,GDS4431,GPL570,146,GSE25507,GSE25507
4166,Integrative Survival-Based Molecular Profiling of Human Pancreatic Cancer [mRNA],Homo sapiens,Expression profiling by array,NoData,GPL570,32,GSE32676,GSE32676
4167,Integrative Survival-Based Molecular Profiling of Human Pancreatic Cancer,Homo sapiens; Murid herpesvirus 4; Murid herpesvirus 1; Human herpesvirus 4; Human herpesvirus 8; Mus musculus; Human herpesvirus 1; JC polyomavirus; Human immunodeficiency virus 1; Rattus norvegicus; Human herpesvirus 5; BK polyomavirus; Simian virus 40,Expression profiling by array; Non-coding RNA profiling by array; Genome variation profiling by SNP array,NoData,GPL6801 GPL7723 GPL570,96,GSE32688,GSE32688
4168,Artificially induced epithelial-mesenchymal transition in surgical subjects: its implications in clinical and basic cancer research,Homo sapiens,Expression profiling by array,NoData,GPL570 GPL8300 GPL91,146,GSE22954,GSE22954
4169,Expression data for Mobilized Peripheral Blood CD34+ cells with Wnt or BMP stimulation,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE26351,GSE26351
4170,Individual aiEMT in surgical samples of esophageal cancer patients,Homo sapiens,Expression profiling by array,NoData,GPL570,40,GSE32701,GSE32701
4171,Methylation specifies distinct estrogen-induced binding site repertoires of CBP to chromatin,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL9052 GPL6244,23,GSE32350,GSE32350
4172,Methylation specifies distinct estrogen-induced binding site repertoires of CBP to chromatin (mRNA),Homo sapiens,Expression profiling by array,NoData,GPL6244,5,GSE32348,GSE32348
4173,Intracellular Signaling Pathways in Nonviral Gene Delivery: Microarray Analysis of Gene Expression Profiles in Transfected Cells,Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE20615,GSE20615
4174,DNA microarrays of Turner Syndrome induced pluripotent stem cells,Homo sapiens,Expression profiling by array,GDS4489,GPL6244,10,GSE32527,GSE32527
4175,Gene expression in ovarian cancer,Homo sapiens,Expression profiling by array,NoData,GPL570 GPL96,84,GSE23603,GSE23603
4176,Gene expression changes with induction of in-vitro platinum-resistance in ovarian cancer cell lines.,Homo sapiens,Expression profiling by array,NoData,GPL570,56,GSE23553,GSE23553
4177,Gene expression profiles of Glioblastoma stem cells in which ALK or pleiotrophin expression was suppressed. ,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE32482,GSE32482
4178,CD140a+ human oligodendrocyte progenitor cells,Homo sapiens,Expression profiling by array,NoData,GPL570,10,GSE29368,GSE29368
4179,Post-mortem cardiac tissue maintains gene expression profile even after late harvesting.,Homo sapiens,Expression profiling by array,NoData,GPL5175,29,GSE32519,GSE32519
4180,Cereblon expression is required for the anti-myeloma activity of lenalidomide and pomalidomide,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by genome tiling array,NoData,GPL570 GPL4091,17,GSE31452,GSE31452
4181,Cereblon expression is required for the anti-myeloma activity of lenalidomide and pomalidomide [expression profiling],Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE31421,GSE31421
4182,Generation of feederless iPS cell from human cord blood cells using Sendai virus (SeV) vector,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE32054,GSE32054
4183,Expression data from RKO cells transfected with SPARCL1 and vector control,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE31440,GSE31440
4184,The pioneer factor PBX1 guides a distinct ERa signaling in breast cancer,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL10558 GPL9115,10,GSE28008,GSE28008
4185,Gene expression is differently affected by pimecrolimus and betamethasone in lesional skin of atopic dermatitis.,Homo sapiens,Expression profiling by array,GDS4460,GPL570,30,GSE32473,GSE32473
4186,Comparison between cell lines from 9 different cancer tissue (NCI-60) (Affymetrix U133 Plus 2.0),Homo sapiens,Expression profiling by array,GDS4296,GPL570,174,GSE32474,GSE32474
4187,CPDR tumor-benign 80 genechip dataset,Homo sapiens,Expression profiling by array,NoData,GPL570,80,GSE32448,GSE32448
4188,Expression profiling FSHD vs. control myoblasts and myotubes,Homo sapiens,Expression profiling by array,NoData,GPL5175,12,GSE26145,GSE26145
4189,Expression profiling of cisplatin resistant cells derived from H460 lung cell line.,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE21656,GSE21656
4190,Reprogramming of mesenchymal stem cells by the synovial sarcoma-associated oncogene SYT-SSX2,Mus musculus; Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,NoData,GPL6244 GPL6246 GPL9250,10,GSE26565,GSE26565
4191,Gene expression profile of SYT-SSX2-expressing human bone marrow-derived mesenchymal stem cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE26563,GSE26563
4192,Significant Effects of Antiretroviral Therapy on Global Gene Expression in Brain Tissues of Patients with HIV-Associated Neurocognitive Disorders,Homo sapiens,Expression profiling by array,GDS4231,GPL570,35,GSE28160,GSE28160
4193,Integrated Genomic Analysis of Relapsed Childhood Acute Lymphoblastic Leukemia reveals therapeutic strategies,Homo sapiens,Expression profiling by array; Methylation profiling by array,NoData,GPL570 GPL8490,166,GSE28462,GSE28462
4194,Expression data from ALL diagnosis and relapse pediatric acute lymphoblastic leukemia cases,Homo sapiens,Expression profiling by array,NoData,GPL570,98,GSE28460,GSE28460
4195,High expression of BMP pathway genes distinguishes a subset of Atypical Teratoid/Rhabdoid Tumors associated with shorter survival,Homo sapiens,Expression profiling by array,NoData,GPL570,18,GSE28026,GSE28026
